formula,formation energy,Mpid,SpaceGroup
Pb3Mn7O15,-1.84,mp-704327,Pnma
CsMnCl3,-1.86,mp-23336,R3m
Zn2Mo3O8,-1.86,mp-19216,P6₃mc
(V(H2O)3F3),-1.89,mp-1187773,R3m
(UO2SO4)2(H2O)7,-1.9,mp-706594,Pca2_1
Na(H2PO4)(H2O),-1.91,mp-554288,Pca2_1
LiInMo3O8,-1.92,mp-22805,P3m1
Sb2Mo10O31,-1.92,mp-608522,Pma2
Li2Fe3SbO8,-1.93,mp-771712,P6₃mc
Li8CoO6,-1.94,mp-27920,P6₃mc
Mo17O47,-1.94,mp-285,Pba2
Bi(Mn7O12),-1.94,mp-1188529,C1m1
PbCo2(V2O8),-1.95,mp-1203643,I4₁cd
BaTiS3,-1.95,mp-7073,P6₃/mmc
Sn6O4(SiO4),-1.95,mp-556100,P6₃mc
(AlPO4)3((CH3)2CONH)(H2O),-1.95,mp-699455,C1c1
Li(H2PO3),-1.96,mp-23931,Pna2_1
Rb(HSO4),-1.96,mp-1197989,P1c1
CrO(OH),-1.97,mp-24040,Pmn2_1
RbCS(OF)3,-2,mp-672209,C1m1
Fe3(PO4)O3,-2,mp-18775,R3m
Na2In2(Mo3O8)(MoO4)2,-2,mp-1221585,P3m1
K2(ZnCl4),-2,mp-647575,Pna2_1
RbSO3CF3,-2,mp-672209,C1m1
Er3GaS6,-2.02,mp-7290,Cmc2_1
Li4(CO4),-2.04,mp-555320,Cmc2_1
ZrCl2,-2.05,mp-23162,R3m
YBaCo4O7,-2.05,mp-19151,P6₃mc
Tl4Ni7(PO4)6,-2.05,mp-560035,C1m1
HoBaCo4O7,-2.06,mp-17703,P6₃mc
Cd4BiO(BO3)3,-2.07,mp-1189868,C1m1
Fe2BO4,-2.07,mp-566717,P1c1
CdCl2KClRb3Cl3,-2.07,mp-570158,R3c
DyBaCo4O7,-2.07,mp-18804,P6₃mc
Fe2O(BO3),-2.07,mp-566717,P1c1
LuBaCo4O7,-2.08,mp-16868,P6₃mc
Cs2(S2O6),-2.08,mp-561681,P6₃mc
Ca(HPO4)(H2O)2,-2.08,mp-24389,C1c1
Co3(BPO7),-2.08,mp-562300,C1m1
RbLi(CrO4),-2.09,mp-18741,P31c
Li(ReO3),-2.11,mp-8189,R3c
Li4(CO4),-2.12,mp-549389,C1m1
PbVO3,-2.12,mp-20032,P4mm
Pb(VO3),-2.12,mp-20032,P4mm
K6BiH3(Cl2F)4,-2.12,mp-696998,P6₃mc
Li4(CO4),-2.12,mp-1180596,C1m1
Au3F7(SbF5)3,-2.12,mp-554764,P1c1
Na2(GeO3),-2.14,mp-5784,Cmc2_1
Cu6La4(MoO4)9,-2.16,mp-558757,R3c
CaZnOS,-2.17,mp-7204,P6₃mc
Cs2PrO3,-2.18,mp-7646,Cmc2_1
Cs3Li2Cl5,-2.19,mp-570756,C1m1
Bi2ZnTiO6,-2.2,mp-1084840,C1m1
Ba5(OsO5)3(NO3),-2.2,mp-628618,P6₃cm
Mn13Sb(Si2O24),-2.22,mp-557740,P31m
Ir(PO3)3,-2.23,mp-554749,C1c1
KNa(SO4),-2.23,mp-558632,P3m1
(SbV)O4,-2.24,mp-29146,I4₁md
ScZnMo3O8,-2.24,mp-18282,P6₃mc
BaBi2O2Br2,-2.25,mp-1227974,I4mm
SrNi2(VO4)2,-2.26,mp-541734,I4₁cd
Sr(Co2V2O8),-2.26,mp-1195702,I4₁cd
LiNa(SO4),-2.26,mp-6783,P31c
(PbF2)4(PbI2),-2.26,mp-540938,R3m
LiNa(SO4),-2.26,mp-6783,P31c
FeCo(PO4)F,-2.27,mp-572292,C1c1
(Na(H2O))2(B5O8(OH)),-2.28,mp-720593,Pna2_1
SrCu2(BO3)2,-2.29,mp-6602,I4̅2m
BaB2O4,-3.105,mp-5730,R3c
LiB3O5,-2.819,mp-3660,Pna2_1
CsLiB6O10,-2.85,mp-5990,I-42d
CsB3O5,-2.82,mp-3977,P2_12_12_1
KBe2BO3F2,-3.186,mp-6870,R32
Sr2Be2B2O7,-3.179,mp-556498,P-6c2
RbBe2BO3F2,-3.185,mp-7323,R32
CsBe2BO3F2,-3.179,mp-553342,R32
KSrCO3F,-2.796,mp-865427,P-6m2
NaCaBe2B2O6F,-3.102,mp-1193627,Cc
NaSr3Be3B3O9F4,-3.299,mp-1192032,R3m
BaAlBO3F2,-3.556,mp-558491,P-6
K3Ba3Li2Al4B6O20F ,-3.083,mp-1195057,P-62c
BaZnBO3F,-2.943,mp-1077866,P-6
KCaCO3F,-2.806,mp-6867,P-6m2
Li2Ga2GeS6,-1.163,mp-554782,Fdd2
LiGaGe2Se6,-0.509,mp-1222398,Cc
Li2In2GeSe6,-0.688,mp-1191200,Cc
Li2In2SiSe6,-0.749,mp-1191817,Cc
KZn2BO3Cl2,-2.215,mp-1078186,R32
BiB2O4F,-2.63,mp-558753,P3_2
LiB6O9F,-2.876,mp-558105,Pna2_1
Li2B6O9F2,-2.91,mp-1200209,Cc
Li2B3O4F3,-3.016,mp-1196457,P2_12_12_1
NaBe2BO3F2,-3.133,mp-556865,C2
Ba3Mg3(BO3)3F3,-3.32,mp-1198065,Pna2_1
(NH4)2PO3F,-1.429,mp-24157,Pna2_1
(C(NH2)3)2PO3F,-1.014,mp-698449,Cm
Na3NbOF6,-3.199,mp-561259,P2_12_12_1
K3Ti(O2)2F3,-2.443,mp-6305,Cmcm
K2TiOF4,-3.436,mp-556623,Pna2_1
Ba2TiOF6,-4.009,mp-561256,Cc
Li2Ta2O3F6,-3.494,mp-561011,P3_121
Ba2MoO3F4,-3.317,mp-1214599,Cc
Ba2WO3F4 ,-3.363,mp-19234,Cc
Pb5W3O9F10,-2.324,mp-1221334,P1
RbSbSO4F2,-2.376,mp-554732,Pna2_1
CsSbSO4F2,-2.377,mp-1213195,Pna2_1
LiGaS2,-1.358,mp-3647,Pna2_1
LiGaSe2,-0.911,mp-11582,Pna2_1
LiGaTe2,-0.628,mp-5048,I-42d
LiInTe2,-0.628,mp-20782,I-42d
LiInS2,-1.265,mp-1188392,Pna2_1
Li2ZrTeO6,-2.506,mp-6782,R3
La3SnGa5O14,-2.842,mp-6788,P321
K2Sr(PO3)4,-2.85,mp-558990,I-4
KLa(PO3)4,-2.942,mp-540962,P2_1
